Device,App package,App name,Start time,Start time ms,Duration ms
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 04:41:09 GMT+01:00 2021",1638762069320,11517
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 04:42:40 GMT+01:00 2021",1638762160172,6041
Redmi Note 8 Pro,"com.netflix.mediaclient","Netflix","Mon Dec 06 04:42:46 GMT+01:00 2021",1638762166330,693209
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 04:54:19 GMT+01:00 2021",1638762859539,1769
Redmi Note 8 Pro,"com.android.systemui","Systemowy UI","Mon Dec 06 04:54:21 GMT+01:00 2021",1638762861309,1475
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 05:53:11 GMT+01:00 2021",1638766391259,9190
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Mon Dec 06 05:53:14 GMT+01:00 2021",1638766394943,3512
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 07:30:25 GMT+01:00 2021",1638772225847,10583
Redmi Note 8 Pro,"com.google.android.calendar","Kalendarz","Mon Dec 06 07:30:29 GMT+01:00 2021",1638772229202,17646
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 07:30:46 GMT+01:00 2021",1638772246849,13538
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 07:31:15 GMT+01:00 2021",1638772275783,3852
Redmi Note 8 Pro,"com.google.android.youtube","YouTube","Mon Dec 06 07:31:19 GMT+01:00 2021",1638772279673,1332239
Redmi Note 8 Pro,"com.google.android.youtube","YouTube","Mon Dec 06 07:59:01 GMT+01:00 2021",1638773941115,1095
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 07:59:02 GMT+01:00 2021",1638773942220,845
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Mon Dec 06 07:59:03 GMT+01:00 2021",1638773943081,7328
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 07:59:10 GMT+01:00 2021",1638773950410,1207
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 08:02:32 GMT+01:00 2021",1638774152890,7420
Redmi Note 8 Pro,"com.google.android.calendar","Kalendarz","Mon Dec 06 08:02:40 GMT+01:00 2021",1638774160322,296542
Redmi Note 8 Pro,"com.google.android.calendar","Kalendarz","Mon Dec 06 08:37:53 GMT+01:00 2021",1638776273466,1388
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 08:37:54 GMT+01:00 2021",1638776274855,6846
Redmi Note 8 Pro,"com.android.deskclock","Zegar","Mon Dec 06 08:38:01 GMT+01:00 2021",1638776281709,1029017
Redmi Note 8 Pro,"com.android.deskclock","Zegar","Mon Dec 06 10:07:51 GMT+01:00 2021",1638781671496,1253
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 10:07:52 GMT+01:00 2021",1638781672750,43848
Redmi Note 8 Pro,"android","System Android","Mon Dec 06 10:17:07 GMT+01:00 2021",1638782227610,184
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 10:29:45 GMT+01:00 2021",1638782985533,557
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 10:32:18 GMT+01:00 2021",1638783138533,32548
Redmi Note 8 Pro,"com.facebook.katana","Facebook","Mon Dec 06 10:32:51 GMT+01:00 2021",1638783171192,803378
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 10:46:14 GMT+01:00 2021",1638783974571,4275
Redmi Note 8 Pro,"com.android.chrome","Chrome","Mon Dec 06 10:46:16 GMT+01:00 2021",1638783976086,261539
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 10:50:37 GMT+01:00 2021",1638784237631,2927
Redmi Note 8 Pro,"android","System Android","Mon Dec 06 10:54:55 GMT+01:00 2021",1638784495313,172
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 11:28:40 GMT+01:00 2021",1638786520444,569
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 11:38:39 GMT+01:00 2021",1638787119976,301257
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:26:06 GMT+01:00 2021",1638789966935,13176
Redmi Note 8 Pro,"com.google.android.gm","Gmail","Mon Dec 06 12:26:20 GMT+01:00 2021",1638789980122,22519
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:26:42 GMT+01:00 2021",1638790002642,1434
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Mon Dec 06 12:26:44 GMT+01:00 2021",1638790004124,33755
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:27:17 GMT+01:00 2021",1638790037880,1360
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:27:28 GMT+01:00 2021",1638790048812,10622
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:35:24 GMT+01:00 2021",1638790524019,34112
Redmi Note 8 Pro,"com.android.camera","Aparat","Mon Dec 06 12:35:58 GMT+01:00 2021",1638790558143,13036
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:36:11 GMT+01:00 2021",1638790571180,54434
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Mon Dec 06 12:37:13 GMT+01:00 2021",1638790633249,27937
