"Device","App.package","App.name","Start.time","Start.time.ms","Duration.ms"
"MAIMANG 6","com.android.deskclock","Zegar","Mon Dec 06 06:01:59 GMT+01:00 2021",1638766919596,8011
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:02:07 GMT+01:00 2021",1638766927837,3
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:02:29 GMT+01:00 2021",1638766949034,14480
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 06:02:43 GMT+01:00 2021",1638766963616,26859
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:03:10 GMT+01:00 2021",1638766990562,1199
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 06:03:11 GMT+01:00 2021",1638766991797,1590
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 06:03:13 GMT+01:00 2021",1638766993456,47309
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:04:01 GMT+01:00 2021",1638767041004,1202
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 06:04:02 GMT+01:00 2021",1638767042269,45491
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 06:04:56 GMT+01:00 2021",1638767096293,97057
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:06:33 GMT+01:00 2021",1638767193436,1004
"MAIMANG 6","com.android.deskclock","Zegar","Mon Dec 06 06:09:59 GMT+01:00 2021",1638767399139,6603
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:10:05 GMT+01:00 2021",1638767405944,3
"MAIMANG 6","com.android.deskclock","Zegar","Mon Dec 06 06:15:00 GMT+01:00 2021",1638767700144,3520
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:15:03 GMT+01:00 2021",1638767703788,2
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:22:18 GMT+01:00 2021",1638768138837,1627
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:23:04 GMT+01:00 2021",1638768184816,6186
"MAIMANG 6","com.android.deskclock","Zegar","Mon Dec 06 06:23:11 GMT+01:00 2021",1638768191046,4755
"MAIMANG 6","com.android.deskclock","Zegar","Mon Dec 06 06:32:01 GMT+01:00 2021",1638768721045,877
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:32:02 GMT+01:00 2021",1638768722002,427
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:36:42 GMT+01:00 2021",1638769002820,5979
"MAIMANG 6","pl.intercity.navigator","IC Mobile Navigator","Mon Dec 06 06:36:48 GMT+01:00 2021",1638769008869,6319
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 06:36:55 GMT+01:00 2021",1638769015252,729
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 06:36:56 GMT+01:00 2021",1638769016011,1179
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 06:36:57 GMT+01:00 2021",1638769017267,109195
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 06:38:46 GMT+01:00 2021",1638769126718,2
"MAIMANG 6","com.android.incallui","Telefon","Mon Dec 06 06:42:51 GMT+01:00 2021",1638769371835,7701
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 06:42:59 GMT+01:00 2021",1638769379752,3
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 06:43:05 GMT+01:00 2021",1638769385133,4934
"MAIMANG 6","com.android.incallui","Telefon","Mon Dec 06 06:43:33 GMT+01:00 2021",1638769413390,17030
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 06:43:50 GMT+01:00 2021",1638769430655,3
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 06:44:00 GMT+01:00 2021",1638769440548,3
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 07:05:51 GMT+01:00 2021",1638770751568,3077
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:05:54 GMT+01:00 2021",1638770754706,60716
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:07:25 GMT+01:00 2021",1638770845432,2194
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:11:33 GMT+01:00 2021",1638771093890,1466
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:14:45 GMT+01:00 2021",1638771285816,32431
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 07:14:55 GMT+01:00 2021",1638771295989,3266
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:17:44 GMT+01:00 2021",1638771464806,6220
"MAIMANG 6","com.instagram.android","Instagram","Mon Dec 06 07:17:51 GMT+01:00 2021",1638771471087,108535
"MAIMANG 6","com.instagram.android","Instagram","Mon Dec 06 07:24:45 GMT+01:00 2021",1638771885420,1140
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:24:46 GMT+01:00 2021",1638771886650,738
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 07:24:47 GMT+01:00 2021",1638771887417,1047
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 07:24:48 GMT+01:00 2021",1638771888541,233151
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:28:41 GMT+01:00 2021",1638772121804,1195
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 07:28:43 GMT+01:00 2021",1638772123076,150326
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:31:13 GMT+01:00 2021",1638772273490,714
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:31:56 GMT+01:00 2021",1638772316900,1001
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:45:33 GMT+01:00 2021",1638773133968,677
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 07:45:34 GMT+01:00 2021",1638773134698,1118
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 07:45:35 GMT+01:00 2021",1638773135914,11566
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:45:47 GMT+01:00 2021",1638773147591,9142
"MAIMANG 6","pl.intercity.navigator","IC Mobile Navigator","Mon Dec 06 07:45:56 GMT+01:00 2021",1638773156775,8147
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 07:46:04 GMT+01:00 2021",1638773164978,826
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:05:18 GMT+01:00 2021",1638774318894,879
"MAIMANG 6","com.huawei.systemmanager","Menedżer telefonu","Mon Dec 06 08:05:19 GMT+01:00 2021",1638774319811,1173
"MAIMANG 6","com.android.chrome","Chrome","Mon Dec 06 08:05:21 GMT+01:00 2021",1638774321076,54804
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:06:16 GMT+01:00 2021",1638774376122,4460
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:14:55 GMT+01:00 2021",1638774895101,4227
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:15:24 GMT+01:00 2021",1638774924845,4846
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 08:15:29 GMT+01:00 2021",1638774929754,23594
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:15:53 GMT+01:00 2021",1638774953436,2751
"MAIMANG 6","com.instagram.android","Instagram","Mon Dec 06 08:15:56 GMT+01:00 2021",1638774956241,115345
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:17:51 GMT+01:00 2021",1638775071670,2447
"MAIMANG 6","com.android.systemui","Interfejs systemu","Mon Dec 06 08:17:52 GMT+01:00 2021",1638775072215,1028
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:18:40 GMT+01:00 2021",1638775120807,1484
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:20:51 GMT+01:00 2021",1638775251703,8829
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 08:23:23 GMT+01:00 2021",1638775403902,3841
"MAIMANG 6","com.huawei.android.launcher","Ekran główny Huawei","Mon Dec 06 09:34:35 GMT+01:00 2021",1638779675058,10841
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 09:34:45 GMT+01:00 2021",1638779685977,8626
"MAIMANG 6","com.facebook.orca","Messenger","Mon Dec 06 09:39:17 GMT+01:00 2021",1638779957905,4418
